,precision,recall,f1-score,support
crack,0.8518518518518519,0.40636042402826855,0.5502392344497608,849.0
no_crack,0.9031700288184438,0.9873976055450535,0.9434075857916917,4761.0
accuracy,0.8994652406417112,0.8994652406417112,0.8994652406417112,0.8994652406417112
macro avg,0.8775109403351478,0.696879014786661,0.7468234101207263,5610.0
weighted avg,0.8954036950849971,0.8994652406417112,0.8839067069522445,5610.0
